ddim_eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000000,26.6112,2.3441,0.7287,0.0911,0.1986,0.0763
0.090909,26.7933,2.1244,0.7367,0.0821,0.1860,0.0707
0.181818,26.5096,2.1247,0.7256,0.0862,0.2016,0.0876
0.272727,26.1121,2.8625,0.7114,0.1221,0.2160,0.1574
0.363636,26.3846,2.1183,0.7206,0.0910,0.1840,0.0780
0.454545,26.3501,2.0896,0.7236,0.0831,0.1774,0.0645
0.545455,26.0153,2.0911,0.7099,0.0862,0.1802,0.0630
0.636364,25.5927,2.1099,0.6952,0.0850,0.1854,0.0617
0.727273,25.1851,1.9427,0.6776,0.0844,0.1912,0.0534
0.818182,24.7278,1.9974,0.6513,0.0897,0.2130,0.0672
0.909091,24.2524,1.9209,0.6338,0.0889,0.2269,0.0603
1.000000,23.6550,2.0085,0.6047,0.0967,0.2595,0.0782
