eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.010000,20.0630,2.4226,0.3976,0.1466,0.4509,0.1729
0.012328,20.7492,2.5298,0.4406,0.1456,0.4173,0.1870
0.015199,21.7929,2.2766,0.4883,0.1373,0.3612,0.1404
0.018738,22.7772,2.1550,0.5388,0.1250,0.3183,0.1247
0.023101,23.7997,2.1389,0.5902,0.1135,0.2764,0.1068
0.028480,24.7370,2.0243,0.6415,0.0932,0.2391,0.0821
0.035112,25.5240,1.9844,0.6819,0.0809,0.2104,0.0665
0.043288,26.1650,2.0204,0.7141,0.0749,0.2061,0.0598
0.053367,26.5921,2.0064,0.7331,0.0747,0.2154,0.0585
0.065793,nan,nan,nan,nan,nan,nan
0.081113,nan,nan,nan,nan,nan,nan
0.100000,nan,nan,nan,nan,nan,nan
