eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.020000,19.7408,2.2744,0.5667,0.0891,0.2540,0.0695
0.024020,19.9797,2.2607,0.5862,0.0853,0.2443,0.0672
0.028849,20.3242,2.3086,0.6044,0.0820,0.2328,0.0650
0.034648,20.6887,2.2101,0.6213,0.0784,0.2214,0.0631
0.041613,20.8817,2.2487,0.6364,0.0746,0.2131,0.0623
0.049979,20.7283,2.0390,0.6420,0.0754,0.2219,0.0627
0.060026,20.7688,2.3123,0.6435,0.0837,0.2321,0.0813
0.072092,20.3728,2.2494,0.6403,0.0865,0.2457,0.0904
0.086584,19.2448,2.5997,0.6203,0.0732,0.2726,0.0896
0.103989,19.3596,2.5156,0.6258,0.0805,0.2791,0.0929
0.124894,19.3066,3.0663,0.6201,0.0928,0.2825,0.1164
0.150000,18.3623,2.9168,0.5996,0.0953,0.3077,0.1142
