gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000100,19.0980,2.2533,0.5393,0.1007,0.3412,0.1077
0.000267,18.9408,2.1736,0.5331,0.0991,0.3518,0.1118
0.000715,19.1548,2.0831,0.5431,0.1001,0.3448,0.1108
0.001912,19.3281,2.1686,0.5499,0.1015,0.3401,0.1074
0.005113,19.4260,2.1227,0.5598,0.0959,0.3276,0.1034
0.013674,19.4400,2.4359,0.5733,0.1029,0.3171,0.1103
0.036566,20.2745,2.4554,0.6382,0.0909,0.2521,0.0978
0.097781,20.2717,2.4712,0.7209,0.0290,0.1307,0.0430
0.261477,18.7496,2.2473,0.6661,0.0481,0.1758,0.0293
0.699217,16.6562,1.9066,0.6307,0.0498,0.2443,0.0247
1.869782,15.1750,1.4614,0.5697,0.1225,0.3324,0.1004
5.000000,nan,nan,nan,nan,nan,nan
