ddim_eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000000,23.8452,2.7850,0.6270,0.1375,0.2991,0.1359
0.090909,23.6535,2.8595,0.6117,0.1399,0.3171,0.1338
0.181818,23.9195,2.7555,0.6258,0.1321,0.3029,0.1352
0.272727,24.0171,2.6802,0.6307,0.1275,0.2985,0.1348
0.363636,24.2875,2.3466,0.6534,0.1063,0.2743,0.1253
0.454545,24.5212,2.5189,0.6575,0.1113,0.2702,0.1232
0.545455,24.6628,2.3236,0.6678,0.0983,0.2513,0.1150
0.636364,24.7335,2.2667,0.6767,0.0848,0.2425,0.1088
0.727273,24.9041,2.1421,0.6775,0.0764,0.2398,0.0929
0.818182,24.8543,2.0750,0.6780,0.0702,0.2408,0.0862
0.909091,25.0999,1.8635,0.6841,0.0694,0.2317,0.0691
1.000000,24.9553,1.9547,0.6776,0.0717,0.2299,0.0688
