gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.010000,23.1656,2.9727,0.5993,0.1473,0.3303,0.1391
0.012328,23.2339,2.9177,0.6011,0.1448,0.3249,0.1364
0.015199,23.3838,2.8706,0.6095,0.1437,0.3158,0.1377
0.018738,23.5061,2.8652,0.6141,0.1427,0.3114,0.1373
0.023101,23.5688,2.9640,0.6096,0.1472,0.3169,0.1375
0.028480,23.7892,2.8218,0.6245,0.1378,0.3012,0.1356
0.035112,23.7627,2.7790,0.6171,0.1348,0.3059,0.1346
0.043288,23.7400,2.6144,0.6154,0.1255,0.3028,0.1293
0.053367,23.5286,2.3718,0.5983,0.1144,0.3135,0.1250
0.065793,23.5830,2.2789,0.5960,0.1047,0.3094,0.1136
0.081113,23.0811,2.0167,0.5546,0.0877,0.3444,0.0950
0.100000,22.6662,1.7874,0.5216,0.0805,0.3704,0.0822
